DAY,BTC,ETC,EOS
806,236912,26271710,3360116074
807,242695,26324431,3364249447
808,244915,26367331,
809,249140,26413118,
810,251176,26456521,
811,253005,26499176,
812,256197,26541661,
813,258540,26591641,
814,261517,26638380,
815,263890,26695951,
816,265427,26739575,
817,267312,26783055,
818,268699,26829457,
819,270321,26873700,
820,271938,26920212,
821,274128,26968081,
822,276009,27011773,
823,277710,27058576,
824,279247,27115975,
825,280864,27159401,
826,282420,27204189,
827,283992,27251195,
828,285794,27295388,
829,287683,27341538,
830,289903,27399854,
831,292816,27447949,
832,294690,27497907,
833,296433,27544112,
834,298542,27592534,
835,301489,27640827,
836,304888,27691615,
837,307697,27738522,
838,309456,27784131,
839,311363,27828820,
840,313508,27872398,
841,315799,27917412,
842,318141,27960805,
843,321344,28006393,
844,325738,28048881,
845,328557,28093050,
846,331989,28133613,
847,336197,28174304,
848,339932,28219026,
849,342826,28265334,
850,345602,28310393,
851,348176,28356939,
852,351449,28406772,
853,354561,28453188,
854,358159,28502398,
855,360931,28558683,
856,364171,28606399,
857,367091,28657977,
858,370011,28710987,
859,373207,28762633,
860,377068,28815285,
861,381271,28867648,
862,384871,28919041,
863,388911,28969939,
864,393093,29023773,
865,398461,29076041,
866,402883,29128901,
867,407502,29180143,
868,412191,29229874,
869,417249,29279873,
870,422729,29328550,
871,428261,29378336,
872,434355,29434050,
873,440898,29486627,
874,445597,29536521,
875,450428,29583839,
876,455103,29639478,
877,460252,29697682,
878,466179,29756785,
879,472532,29822436,
880,479447,29875836,
881,487615,29928084,
882,496332,29983345,
883,504624,30040197,
884,514157,30096758,
885,523146,30153637,
886,534614,30208300,
887,546732,30264014,
888,557848,30322433,
889,568473,30374220,
890,580803,30425231,
891,591525,30478824,
892,605496,30537966,
893,617858,30598898,
894,630336,30655352,
895,641606,30714337,
896,652819,30775919,
897,664238,30828796,
898,674951,30884386,
899,684578,30940471,
900,695799,31000322,
901,705913,31049402,
902,716747,31092159,
903,726327,31186900,
904,736481,31234116,
905,747841,31289802,
906,758356,31341990,
907,768121,31394235,
908,777469,31449750,
909,788038,31500415,
910,795758,31550456,
911,803973,31595040,
912,813574,31642035,
913,822512,31688693,
914,832761,31735058,
915,841662,31783907,
916,850034,31825878,
917,857621,31869977,
918,866162,31910410,
919,876328,31954148,
920,884483,31996559,
921,893357,32038368,
922,902004,32080094,
923,910086,32121305,
924,918634,32162832,
925,926813,32203963,
926,935525,32242867,
927,944556,32281441,
928,953238,32321808,
929,961199,32359645,
930,970119,32397358,
931,977313,32436530,
932,985651,32472988,
933,994806,32509684,
934,1002850,32550166,
935,1010701,32591028,
936,1018723,32636299,
937,1025834,32674636,
938,1031782,32712407,
939,1039894,32762675,
940,1048190,32828308,
941,1056526,32875866,
942,1064182,32917558,
943,1072377,32958785,
944,1079934,32998234,
945,1086200,33039322,
946,1092818,33079931,
947,1100072,33120046,
948,1109092,33161442,
949,1117142,33202966,
950,1124618,33246511,
951,1131734,33287059,
952,1139198,33327806,
953,1146460,33368240,
954,1154488,33411298,
955,1164027,33455062,
956,1171606,33495613,
957,1179103,33530514,
958,1186472,33567530,
959,1193416,33607298,
960,1200828,33644570,
961,1208571,33682283,
962,1215625,33725010,
963,1222992,33766618,
964,1230027,33821031,
965,1237340,33862174,
966,1243629,33901588,
967,1249005,33947378,
968,1257151,33995854,
969,1264688,34038893,
970,1271831,34082295,
971,1278757,34123563,
972,1285794,34159005,
973,1291532,34196222,
974,1298645,34233524,
975,1305486,34271537,
976,1313338,34317725,
977,1320152,34355051,
978,1326559,34391172,
979,1333655,34428760,
980,1339588,34463366,
981,1346051,34499014,
982,1352205,34536110,
983,1358639,34576586,
984,1364804,34615533,
985,1371044,34650703,
986,1377186,34686149,
987,1382450,34732079,
988,1388312,34770147,
989,1394988,34805883,
990,1402878,34841704,
991,1410548,34877123,
992,1416483,34913580,
993,1422622,34947028,
994,1428243,34980813,
995,1433897,35016470,
996,1439356,35050957,
997,1445335,35086157,
998,1451220,35123348,
999,1456483,35165480,
1000,1462318,35205373,
1001,1467634,35243520,
1002,1472591,35283861,
1003,1478998,35325392,
1004,1484440,35364925,
1005,1490084,35402698,
1006,1495876,35437944,
1007,1501480,35472993,
1008,1506720,35511230,
1009,1512150,35560639,
1010,1517879,35597764,
1011,1523858,35633373,
1012,1529550,35671689,
1013,1534368,35708352,
1014,1540341,35743646,
1015,1545784,35777910,
1016,1550623,35816108,
1017,1556324,35855601,
1018,1561243,35892294,
1019,1566075,35930646,
1020,1570607,35969596,
1021,1575697,36008094,
1022,1581030,36047615,
1023,1586510,36087768,
1024,1592040,36120002,
1025,1597118,36173057,
1026,1602394,36217447,
1027,1607038,36259789,
1028,1611792,36298949,
1029,1617477,36339344,
1030,1622104,36380848,
1031,1627210,36424945,
1032,1632914,36467588,
1033,1638804,36511705,
1034,1645070,36554516,
1035,1651250,36597877,
1036,1656896,36638541,
1037,1661787,36685062,
1038,1667289,36728094,
1039,1673108,36770445,
1040,1679651,36813034,
1041,1685865,36854603,
1042,1690935,36895121,
1043,1695612,36936786,
1044,1701189,36983644,
1045,1706596,37023351,
1046,1712835,37062757,
1047,1718713,37104415,
1048,1723595,37146420,
1049,1728536,37191498,
1050,1733123,37234525,
1051,1738016,37276694,
1052,1742872,37315439,
1053,1748139,37357741,
1054,1753525,37400379,
1055,1758459,37441248,
1056,1763739,37483254,
1057,1768309,37527656,
1058,1773288,37569448,
1059,1779089,37612356,
1060,1785501,37651714,
1061,1792104,37693333,
1062,1798434,37747076,
1063,1804324,37791995,
1064,1810031,37835828,
1065,1815116,37876192,
1066,1821292,37918632,
1067,1829097,37962306,
1068,1835194,38003886,
1069,1840782,38044410,
1070,1846208,38086082,
1071,1851763,38130292,
1072,1856810,38174536,
1073,1861708,38214297,
1074,1866788,38267820,
1075,1872341,38308585,
1076,1877371,38352023,
1077,1882314,38394915,
1078,1886905,38434935,
1079,1891505,38472560,
1080,1897111,38512084,
1081,1903403,38555688,
1082,1908796,38597357,
1083,1914519,38637418,
1084,1919875,38675794,
1085,1924398,38715064,
1086,1929536,38756331,
1087,1935074,38799413,
1088,1940063,38836886,
1089,1945030,38876772,
1090,1949998,38918546,
1091,1954890,38958216,
1092,1959917,38999094,
1093,1964748,39057267,
1094,1970138,39131667,
1095,1975655,39204792,
1096,1981433,39268692,
1097,1988150,39310673,
1098,1994512,39350561,
1099,2000467,39389487,
1100,2006583,39428635,
1101,2012599,39469557,
1102,2018908,39510259,
1103,2025993,39551347,
1104,2032655,39592652,
1105,2039209,39633141,
1106,2046003,39673716,
1107,2052020,39715805,
1108,2058832,39754452,
1109,2065661,39795290,
1110,2072060,39833577,
1111,2078780,39870825,
1112,2085356,39906828,
1113,2091520,39942793,
1114,2096758,39979399,
1115,2102850,40018524,
1116,2110068,40056626,
1117,2117934,40095116,
